gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0,0.1023712383613841,0,0,0,0,1,0,1,1,0,-0.5132032883397971,-0.2623361935116195,0,0,0,0,0,1,0
0,0,1,1,-0.7117434584104956,1,0,1,0,0,0,0,0,0,0.34959032689664926,-0.503670242177502,1,0,0,0,0,0,1
0,0,1,1,-0.7931549280876836,0,0,1,1,0,1,0,0,0,-0.8118626166908747,-0.7498309718167021,0,0,0,1,0,0,1
1,0,1,0,-0.2639803751859618,1,0,0,1,1,0,1,1,1,0.28322158726307645,-0.17282320091554676,0,0,0,1,1,0,0
0,0,1,1,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-0.679125137423729,-0.9894098637650145,0,0,0,0,0,1,0
0,0,0,1,1.3642490183577978,1,0,0,1,1,1,1,1,1,0.48232780616379484,1.2712319884652155,0,0,0,1,1,0,0
1,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-1.508734382843389,-1.0003795932498274,0,1,0,0,1,0,0
1,0,1,0,0.30589991255435406,1,1,0,1,0,0,0,0,0,-0.2809126996222923,0.03516287011650467,0,0,0,0,1,0,0
1,0,1,0,1.3235432835192036,1,0,0,0,0,1,1,0,1,-0.1813595901719331,0.6621926074684066,0,0,0,1,1,0,0
1,0,0,0,1.1200146093262338,1,1,0,0,1,1,1,1,0,0.5155121759805812,1.1180945648572282,0,0,1,0,1,0,0
1,1,0,0,-1.1188008067964355,1,0,1,1,0,1,0,0,0,-0.1813595901719331,-0.8827840931726337,0,0,0,0,1,0,0
1,0,1,1,-1.1188008067964355,1,0,1,0,0,0,0,0,1,-0.5132032883397971,-0.906917498039222,0,0,0,0,0,0,1
1,0,0,0,-1.2409180113122174,1,0,1,0,0,0,0,0,0,-0.48001891852301065,-0.9547455185930059,0,0,0,0,0,0,1
0,0,1,1,-0.10115743583158582,1,1,1,1,1,1,0,0,0,0.08411536836235807,-0.13113822887325796,0,0,0,0,0,1,0
0,0,1,0,0.14307697319997809,1,1,0,0,0,0,1,1,1,1.013277723232377,0.5156370215513071,1,0,0,0,0,1,0
1,0,1,1,0.9164859351332638,1,0,0,0,0,0,0,0,1,0.15048410799593087,0.677111439567752,1,0,0,1,1,0,0
1,0,0,0,-0.06045170099299184,1,1,1,0,1,0,0,0,1,0.6482496552477268,0.13783953809435284,1,0,0,0,1,0,0
1,1,1,1,-0.1825689055087738,0,0,0,0,0,0,1,0,1,-0.9777844657748066,-0.5817747161093694,0,0,0,0,0,1,0
0,0,0,0,-0.6710377235719016,1,0,0,0,0,0,0,0,0,-1.5419187526601754,-0.8656713151763257,0,1,0,1,1,0,0
0,0,0,0,-1.0780950719578415,1,0,0,0,0,0,0,0,0,-1.4755500130266026,-0.9516739943372584,0,1,0,0,0,0,0
0,1,1,0,-0.22327464034736777,1,1,1,0,1,0,0,0,1,0.6814340250645132,-0.03460460940690498,1,0,1,0,0,1,0
0,0,0,0,1.0386031396490458,1,1,0,0,0,0,0,0,1,-1.3096281639426706,-0.36194133723372013,0,1,0,1,1,0,0
0,0,1,1,1.6084834273893616,1,1,1,1,1,1,0,1,1,1.3119370515834547,2.3840013474046295,1,0,0,1,1,0,0
1,0,0,0,-0.1825689055087738,0,0,0,0,1,1,0,0,1,-0.9777844657748066,-0.5870401862620795,0,0,0,0,0,0,1
0,0,1,1,0.30589991255435406,1,0,0,0,1,0,1,0,1,0.6814340250645132,0.4634211092035979,1,0,1,0,0,1,0
0,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-1.4755500130266026,-0.9999408040704348,0,1,0,0,0,0,1
1,0,0,0,-1.1188008067964355,1,0,0,0,0,0,0,1,1,0.5155121759805812,-0.8279354457485696,1,0,0,0,0,1,0
1,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,1,0.15048410799593087,-0.9784401342802017,1,0,0,0,0,1,0
1,0,0,1,-0.8338606629262776,1,1,0,1,1,0,1,1,1,1.3451214214002412,-0.4492603839328303,1,0,0,0,0,1,0
0,0,0,0,-1.1188008067964355,1,0,0,0,0,1,1,1,1,1.0464620930491635,-0.8099450893934765,1,0,0,0,0,1,0
0,0,1,0,1.5677776925507676,1,0,1,1,1,1,1,1,1,0.7146183948812996,1.6437640017694595,0,0,0,1,0,0,0
0,0,0,0,-1.2002122764736234,1,1,0,0,0,0,0,0,1,0.3827746967134356,-0.908672654756792,1,0,0,0,0,1,0
1,0,1,0,-0.10115743583158582,1,0,0,0,0,0,0,0,0,-1.508734382843389,-0.7213096751561887,0,1,0,0,0,0,0
1,0,1,0,-0.30468611002455576,1,0,0,0,0,0,0,0,1,-1.4755500130266026,-0.7862504737062808,0,1,1,0,0,0,0
0,0,1,1,0.7943687306174818,1,1,0,0,0,0,0,0,0,-1.342812533759457,-0.4246881898868496,0,1,0,1,0,0,1
1,1,0,0,0.5501343215859179,1,1,1,1,1,0,1,1,1,1.5110432704841732,1.1299418727008261,1,0,1,0,0,1,0
0,0,0,0,-0.9559778674420595,1,0,0,0,0,0,0,0,1,0.18366847781271725,-0.7467594475609546,1,0,0,0,0,1,0
1,0,1,0,-0.5489205190561197,1,1,0,0,0,0,1,0,1,0.7146183948812996,-0.3224503110883939,1,0,0,0,0,1,0
1,0,0,0,-0.8338606629262776,1,0,0,1,0,0,0,0,1,-0.5132032883397971,-0.7406163990494593,0,0,0,0,0,1,0
0,1,1,0,0.5094285867473239,1,1,0,1,1,1,1,0,1,1.1128308326827363,0.9768044490928388,1,0,1,0,0,0,0
1,0,1,1,0.14307697319997809,1,1,1,0,1,0,1,1,1,1.3119370515834547,0.6077827492237349,1,0,0,0,1,0,0
0,0,0,0,0.22448844287716607,1,1,0,1,1,0,0,1,1,1.013277723232377,0.6108542734794825,1,0,0,0,1,0,0
0,0,1,1,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-1.508734382843389,-1.0003795932498274,0,1,0,0,0,0,1
0,0,1,0,-0.9152721326034655,1,1,0,0,1,0,1,1,1,1.1128308326827363,-0.5536922086282485,1,0,0,0,0,1,0
0,0,1,1,-0.7931549280876836,1,0,0,0,0,0,0,0,0,-0.679125137423729,-0.7634334363778701,0,0,0,0,0,0,0
0,0,0,0,-0.5896262538947137,1,1,0,0,1,1,1,1,1,0.581880915614154,-0.38344200702395326,0,0,1,0,1,0,0
1,0,1,0,0.18378270803857208,0,0,1,0,0,1,1,0,0,-0.6459407676069426,-0.309725424886011,0,0,0,1,0,1,0
0,0,0,1,-1.1188008067964355,1,0,0,0,0,0,0,0,0,-1.4755500130266026,-0.9551843077723985,0,1,0,0,1,0,0
0,0,0,0,-0.8745663977648716,1,0,0,1,0,0,0,0,0,0.31640595707986285,-0.6511034064533866,1,0,0,0,0,1,0
0,0,0,1,1.2828375486806096,1,0,0,1,0,1,1,1,1,1.1460152024995227,1.6990514383729163,1,0,0,0,1,0,0
0,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,1,0,-0.31409706943907867,-0.9845831827916969,0,0,0,0,0,0,1
0,1,1,0,0.18378270803857208,1,1,0,0,0,0,1,1,1,0.913724613782018,0.5151982323719145,1,0,0,0,0,1,0
1,0,1,1,0.631545791263106,1,1,1,1,0,0,1,1,1,1.3451214214002412,1.1839129417661052,1,0,0,0,1,0,0
0,1,1,0,-0.5082147842175256,1,1,0,0,0,0,1,1,1,0.9800933534155908,-0.17545593599190185,1,0,0,0,0,1,0
1,0,0,0,-0.2639803751859618,1,1,1,1,0,0,1,0,1,0.15048410799593087,-0.21889606475176068,0,0,0,0,0,0,0
1,0,0,0,-0.10115743583158582,1,0,0,0,0,0,0,0,0,-1.508734382843389,-0.7550964419694123,0,1,0,1,1,0,0
1,0,0,0,1.4863662228735797,1,1,1,1,0,1,0,0,1,0.050930998545571676,0.9996214864212495,0,0,0,1,0,0,1
0,0,1,1,1.2421318138420157,1,1,1,1,1,1,1,1,1,0.8141715043316587,1.4471864494016133,0,0,0,1,1,0,0
0,0,1,0,-1.1188008067964355,1,0,0,0,0,0,0,0,0,-1.508734382843389,-0.9534291510548284,0,1,0,0,0,0,1
0,0,1,0,0.26519417771576004,1,0,0,0,0,0,0,0,1,-1.4755500130266026,-0.6620731359381994,0,1,0,1,0,0,0
0,0,0,1,-1.1595065416350294,1,1,0,1,0,0,1,1,1,1.2123839421330955,-0.8489973263594102,1,0,0,0,0,1,0
0,0,1,0,1.1200146093262338,1,1,0,0,1,0,1,1,0,1.2123839421330955,1.6534173637160947,1,0,0,1,1,0,0
0,0,1,1,-0.5489205190561197,1,1,0,0,1,1,1,1,0,1.2787526817666683,-0.12587275872054782,1,0,0,0,0,1,0
1,0,1,0,-0.8745663977648716,1,1,0,1,0,0,1,1,1,1.245568311949882,-0.5063029772538571,1,0,0,0,0,1,0
1,1,0,0,-0.06045170099299184,1,1,0,1,0,0,1,1,1,1.1460152024995227,0.3892657378862631,1,0,0,0,0,1,0
0,0,0,0,-0.10115743583158582,1,0,1,1,1,0,0,0,1,0.6482496552477268,0.061051431700662975,1,0,0,0,1,0,0
0,0,0,0,0.8350744654560759,1,1,0,0,0,0,0,0,0,-1.342812533759457,-0.44750522721526026,0,1,0,1,0,0,1
1,0,0,0,-1.1188008067964355,1,0,0,1,0,1,0,1,1,0.8141715043316587,-0.8064347759583363,1,0,0,0,0,1,0
0,1,0,0,0.7536629957788878,1,1,0,1,0,0,0,0,1,0.48232780616379484,0.7350316112475639,1,0,1,0,0,0,0
1,0,1,0,1.5677776925507676,1,1,1,1,1,1,1,1,0,0.8141715043316587,1.7942686903010916,0,0,0,1,1,0,0
1,0,0,1,1.1607203441648277,1,1,0,0,0,0,0,0,1,-1.3096281639426706,-0.3514103969282998,0,1,0,1,1,0,0
0,1,0,0,-0.9966836022806536,1,0,0,1,0,0,0,0,1,0.31640595707986285,-0.742810344946422,1,0,0,0,0,1,0
0,0,1,0,-0.9152721326034655,1,0,1,0,0,1,0,0,1,-0.3472814392558651,-0.7594843337633375,0,0,0,0,1,0,0
1,0,1,0,-0.8338606629262776,0,0,0,0,1,0,1,1,1,-0.5132032883397971,-0.7379836639731042,0,0,0,0,0,0,0
0,0,1,0,1.3642490183577978,1,1,0,0,0,1,0,1,0,-0.04862211090478751,0.8622804732713928,0,0,0,0,0,1,0
0,0,0,0,-0.3453918448631497,1,0,1,1,0,1,0,0,0,-0.14817522035514671,-0.3768601693330656,0,0,0,0,0,0,0
1,0,1,1,-1.1595065416350294,1,0,0,1,0,1,0,0,0,-0.2809126996222923,-0.9056011305010444,0,0,0,0,0,0,1
1,0,0,0,-1.1595065416350294,1,1,0,1,0,0,0,1,1,0.7809871345148723,-0.8529464289739428,1,0,0,0,0,1,0
1,0,0,1,0.1023712383613841,1,0,1,1,0,0,0,0,0,-0.31409706943907867,-0.12411760200297775,0,0,1,0,1,0,0
1,1,0,0,0.5094285867473239,1,0,1,1,0,1,0,0,1,0.6814340250645132,0.6490289320866311,1,0,0,0,0,0,0
0,0,0,0,1.3235432835192036,1,1,1,0,1,1,1,1,1,1.5110432704841732,2.1233605748454765,1,0,1,0,1,0,0
1,0,1,1,-0.7524491932490895,1,0,0,0,0,0,0,1,1,0.5155121759805812,-0.5032314529981095,1,0,0,0,0,0,0
1,0,1,1,1.1607203441648277,0,0,1,1,0,1,0,1,1,-0.48001891852301065,0.3462643983057968,0,0,1,0,0,0,0
0,0,1,1,1.4456604880349857,1,0,1,0,1,0,0,0,0,0.5155121759805812,1.3497752515764754,1,0,0,1,1,0,0
1,0,1,1,-0.38609757970174374,1,0,1,1,0,1,0,0,1,-0.24772832980550588,-0.4461888596770827,0,0,1,0,0,0,1
1,0,0,0,0.9164859351332638,1,0,0,1,1,0,0,0,1,0.5486965457973676,0.9697838222225587,1,0,0,0,0,1,0
0,0,1,1,1.4863662228735797,1,1,0,0,0,0,0,0,0,-1.342812533759457,-0.2548767774619468,0,1,0,1,0,0,0
1,0,1,0,-1.0373893371192475,1,0,1,0,1,1,1,1,0,0.5486965457973676,-0.7542188636106273,0,0,0,0,0,0,0
1,0,1,1,1.6084834273893616,1,1,1,0,0,0,0,0,0,0.48232780616379484,1.5055454102608177,1,0,0,1,0,0,0
